,Player's List,Base Price,TYPE,COST IN ₹ (CR.),Cost IN $ (000),2022 Squad,Team
23,Jayant Yadav,Retained,ALL-ROUNDER,0.0,0.0,GT,Gujarat Titans
24,Mohammad Shami,Retained,BOWLER,0.0,0.0,GT,Gujarat Titans
25,Ben Stokes,20000000,ALL-ROUNDER,16.25,1950.0,,Chennai Super Kings
26,Kyle Jamieson,10000000,BOWLER,1.0,120.0,,Chennai Super Kings
27,Nishant Sindhu,2000000,ALL-ROUNDER,0.6,72.0,,Chennai Super Kings
28,Ajinkya Rahane,5000000,BATSMAN,0.5,60.0,KKR,Chennai Super Kings
29,Bhagath Varma,2000000,ALL-ROUNDER,0.2,24.0,CSK,Chennai Super Kings
30,Ajay Mandal,2000000,ALL-ROUNDER,0.2,24.0,,Chennai Super Kings
31,Shaik Rasheed,2000000,BATSMAN,0.2,24.0,,Chennai Super Kings
32,Ravindra Jadeja,Retained,ALL-ROUNDER,0.0,0.0,CSK,Chennai Super Kings
33,Rajvardhan Hangargekar,Retained,ALL-ROUNDER,0.0,0.0,CSK,Chennai Super Kings
34,Prashant Solanki,Retained,BOWLER,0.0,0.0,CSK,Chennai Super Kings
35,Ruturaj Gaikwad,Retained,BATSMAN,0.0,0.0,CSK,Chennai Super Kings
36,Tushar Deshpande,Retained,BOWLER,0.0,0.0,CSK,Chennai Super Kings
37,Mukesh Choudhary,Retained,BOWLER,0.0,0.0,CSK,Chennai Super Kings
38,Subhranshu Senapati,Retained,BATSMAN,0.0,0.0,CSK,Chennai Super Kings
39,Simarjeet Singh,Retained,BOWLER,0.0,0.0,CSK,Chennai Super Kings
40,Shivam Dube,Retained,ALL-ROUNDER,0.0,0.0,CSK,Chennai Super Kings
41,Matheesha Pathirana,Retained,BOWLER,0.0,0.0,CSK,Chennai Super Kings
42,Devon Conway,Retained,BATSMAN,0.0,0.0,CSK,Chennai Super Kings
43,Deepak Chahar,Retained,BOWLER,0.0,0.0,CSK,Chennai Super Kings
44,Ambati Rayudu,Retained,BATSMAN,0.0,0.0,CSK,Chennai Super Kings
45,Dwaine Pretorius,Retained,ALL-ROUNDER,0.0,0.0,CSK,Chennai Super Kings
46,Maheesh Theekshana,Retained,BOWLER,0.0,0.0,CSK,Chennai Super Kings
47,Moeen Ali,Retained,ALL-ROUNDER,0.0,0.0,CSK,Chennai Super Kings
48,Mitchell Santner,Retained,ALL-ROUNDER,0.0,0.0,CSK,Chennai Super Kings
49,MS Dhoni,Retained,WICKETKEEPER,0.0,0.0,CSK,Chennai Super Kings
50,Mukesh Kumar,2000000,BOWLER,5.5,660.0,,Delhi Capitals
51,Rilee Rossouw,20000000,BATSMAN,4.6,552.0,,Delhi Capitals
52,Manish Pandey,10000000,BATSMAN,2.4,288.0,LSG,Delhi Capitals
53,Phil Salt,20000000,WICKETKEEPER,2.0,240.0,,Delhi Capitals
54,Ishant Sharma,5000000,BOWLER,0.5,60.0,,Delhi Capitals
55,Ripal Patel,Retained,ALL-ROUNDER,0.0,0.0,DC,Delhi Capitals
56,Pravin Dubey,Retained,ALL-ROUNDER,0.0,0.0,DC,Delhi Capitals
57,Rishabh Pant,Retained,WICKETKEEPER,0.0,0.0,DC,Delhi Capitals
58,Prithvi Shaw,Retained,BATSMAN,0.0,0.0,DC,Delhi Capitals
59,Syed Khaleel Ahmed,Retained,BOWLER,0.0,0.0,DC,Delhi Capitals
60,Yash Dhull,Retained,ALL-ROUNDER,0.0,0.0,DC,Delhi Capitals
61,Vicky Ostwal,Retained,ALL-ROUNDER,0.0,0.0,DC,Delhi Capitals
62,Mustafizur Rahman,Retained,BOWLER,0.0,0.0,DC,Delhi Capitals
63,Sarfaraz Khan,Retained,ALL-ROUNDER,0.0,0.0,DC,Delhi Capitals
64,Rovman Powell,Retained,BATSMAN,0.0,0.0,DC,Delhi Capitals
65,Lalit Yadav,Retained,ALL-ROUNDER,0.0,0.0,DC,Delhi Capitals
66,Axar Patel,Retained,ALL-ROUNDER,0.0,0.0,DC,Delhi Capitals
67,Anrich Nortje,Retained,BOWLER,0.0,0.0,DC,Delhi Capitals
68,Aman Khan (T),Retained,ALL-ROUNDER,0.0,0.0,DC,Delhi Capitals
69,Chetan Sakariya,Retained,BOWLER,0.0,0.0,DC,Delhi Capitals
70,David Warner,Retained,BATSMAN,0.0,0.0,DC,Delhi Capitals
71,Lungisani Ngidi,Retained,BOWLER,0.0,0.0,DC,Delhi Capitals
72,Kuldeep Yadav,Retained,BOWLER,0.0,0.0,DC,Delhi Capitals
73,Kamlesh Nagarkoti,Retained,ALL-ROUNDER,0.0,0.0,DC,Delhi Capitals
74,Mitchell Marsh,Retained,ALL-ROUNDER,0.0,0.0,DC,Delhi Capitals
75,Shakib Al Hasan,1500000,ALL-ROUNDER,1.5,180.0,,Kolkata Knight Riders
76,David Wiese,10000000,ALL-ROUNDER,1.0,120.0,,Kolkata Knight Riders
77,N. Jagadeesan,2000000,WICKETKEEPER,0.9,108.0,CSK,Kolkata Knight Riders
78,Vaibhav Arora,2000000,BOWLER,0.6,72.0,PBKS,Kolkata Knight Riders
79,Litton Das,5000000,WICKETKEEPER,0.5,60.0,,Kolkata Knight Riders
80,Mandeep Singh,5000000,BATSMAN,0.5,60.0,DC,Kolkata Knight Riders
81,Kulwant Khejroliya,2000000,BOWLER,0.2,24.0,,Kolkata Knight Riders
82,Suyash Sharma,2000000,BOWLER,0.2,24.0,,Kolkata Knight Riders
83,Sunil Narine,Retained,BOWLER,0.0,0.0,KKR,Kolkata Knight Riders
84,Shreyas Iyer,Retained,BATSMAN,0.0,0.0,KKR,Kolkata Knight Riders
85,Tim Southee,Retained,BOWLER,0.0,0.0,KKR,Kolkata Knight Riders
86,Umesh Yadav,Retained,BOWLER,0.0,0.0,KKR,Kolkata Knight Riders
87,Varun Chakaravarthy,Retained,BOWLER,0.0,0.0,KKR,Kolkata Knight Riders
88,Shardul Thakur (T),Retained,BOWLER,0.0,0.0,KKR,Kolkata Knight Riders
89,Venkatesh Iyer,Retained,ALL-ROUNDER,0.0,0.0,KKR,Kolkata Knight Riders
90,Harshit Rana,Retained,BOWLER,0.0,0.0,KKR,Kolkata Knight Riders
91,Anukul Roy,Retained,ALL-ROUNDER,0.0,0.0,KKR,Kolkata Knight Riders
92,Andre Russell,Retained,ALL-ROUNDER,0.0,0.0,KKR,Kolkata Knight Riders
93,Lockie Ferguson (T),Retained,BOWLER,0.0,0.0,KKR,Kolkata Knight Riders
94,Nitish Rana,Retained,ALL-ROUNDER,0.0,0.0,KKR,Kolkata Knight Riders
95,Rahmanullah Gurbaz (T),Retained,WICKETKEEPER,0.0,0.0,KKR,Kolkata Knight Riders
96,Rinku Singh,Retained,BATSMAN,0.0,0.0,KKR,Kolkata Knight Riders
97,Sam Curran,20000000,ALL-ROUNDER,18.5,2220.0,,Punjab Super Kings
98,Sikandar Raza,5000000,ALL-ROUNDER,0.5,60.0,,Punjab Super Kings
99,Harpreet Bhatia,2000000,BATSMAN,0.4,48.0,,Punjab Super Kings
100,Mohit Rathee,2000000,ALL-ROUNDER,0.2,24.0,,Punjab Super Kings
101,Vidwath Kaverappa,2000000,BOWLER,0.2,24.0,,Punjab Super Kings
102,Shivam Singh,5000000,WICKETKEEPER,0.2,24.0,,Punjab Super Kings
103,Liam Livingstone,Retained,ALL-ROUNDER,0.0,0.0,PBKS,Punjab Super Kings
104,Baltej Singh Dhanda,Retained,BOWLER,0.0,0.0,PBKS,Punjab Super Kings
105,Atharva Taide,Retained,ALL-ROUNDER,0.0,0.0,PBKS,Punjab Super Kings
106,Bhanuka Rajapakse,Retained,BATSMAN,0.0,0.0,PBKS,Punjab Super Kings
107,Jitesh Sharma,Retained,WICKETKEEPER,0.0,0.0,PBKS,Punjab Super Kings
108,Nathan Ellis,Retained,BOWLER,0.0,0.0,PBKS,Punjab Super Kings
109,Jonny Bairstow,Retained,WICKETKEEPER,0.0,0.0,PBKS,Punjab Super Kings
110,Kagiso Rabada,Retained,BOWLER,0.0,0.0,PBKS,Punjab Super Kings
111,Harpreet Brar,Retained,ALL-ROUNDER,0.0,0.0,PBKS,Punjab Super Kings
112,Shahrukh Khan,Retained,ALL-ROUNDER,0.0,0.0,PBKS,Punjab Super Kings
113,Shikhar Dhawan,Retained,BATSMAN,0.0,0.0,PBKS,Punjab Super Kings
114,Rahul Chahar,Retained,BOWLER,0.0,0.0,PBKS,Punjab Super Kings
115,Arshdeep Singh,Retained,BOWLER,0.0,0.0,PBKS,Punjab Super Kings
116,Prabhsimran Singh,Retained,WICKETKEEPER,0.0,0.0,PBKS,Punjab Super Kings
117,Raj Angad Bawa,Retained,ALL-ROUNDER,0.0,0.0,PBKS,Punjab Super Kings
118,Rishi Dhawan,Retained,ALL-ROUNDER,0.0,0.0,PBKS,Punjab Super Kings
119,Nicholas Pooran,20000000,WICKETKEEPER,16.0,1920.0,SRH,Lucknow Super Giants
120,Daniel Sams,7500000,ALL-ROUNDER,0.75,90.0,MI,Lucknow Super Giants
121,Jaydev Unadkat,5000000,BOWLER,0.5,60.0,MI,Lucknow Super Giants
122,Naveen Ul Haq,5000000,BOWLER,0.5,60.0,,Lucknow Super Giants
123,Amit Mishra,5000000,BOWLER,0.5,60.0,,Lucknow Super Giants
124,Romario Shepherd,5000000,ALL-ROUNDER,0.5,60.0,SRH,Lucknow Super Giants
125,Yash Thakur,2000000,BOWLER,0.45,54.0,,Lucknow Super Giants
126,Swapnil Singh,2000000,ALL-ROUNDER,0.2,24.0,,Lucknow Super Giants
127,Yudhvir Charak,2000000,ALL-ROUNDER,0.2,24.0,,Lucknow Super Giants
128,Prerak Mankad,2000000,ALL-ROUNDER,0.2,24.0,PBKS,Lucknow Super Giants
129,Mark Wood,Retained,BOWLER,0.0,0.0,LSG,Lucknow Super Giants
130,Marcus Stoinis,Retained,ALL-ROUNDER,0.0,0.0,LSG,Lucknow Super Giants
131,Mayank Yadav,Retained,BOWLER,0.0,0.0,LSG,Lucknow Super Giants
132,Mohsin Khan,Retained,BOWLER,0.0,0.0,LSG,Lucknow Super Giants
133,Quinton De Kock,Retained,WICKETKEEPER,0.0,0.0,LSG,Lucknow Super Giants
134,Manan Vohra,Retained,BATSMAN,0.0,0.0,LSG,Lucknow Super Giants
135,Ravi Bishnoi,Retained,BOWLER,0.0,0.0,LSG,Lucknow Super Giants
136,Deepak Hooda,Retained,ALL-ROUNDER,0.0,0.0,LSG,Lucknow Super Giants
137,Ayush Badoni,Retained,ALL-ROUNDER,0.0,0.0,LSG,Lucknow Super Giants
138,Avesh Khan,Retained,BOWLER,0.0,0.0,LSG,Lucknow Super Giants
139,K. Gowtham,Retained,ALL-ROUNDER,0.0,0.0,LSG,Lucknow Super Giants
140,Karan Sharma,Retained,ALL-ROUNDER,0.0,0.0,LSG,Lucknow Super Giants
141,Krunal Pandya,Retained,ALL-ROUNDER,0.0,0.0,LSG,Lucknow Super Giants
142,KL Rahul,Retained,BATSMAN,0.0,0.0,LSG,Lucknow Super Giants
143,Kyle Mayers,Retained,ALL-ROUNDER,0.0,0.0,LSG,Lucknow Super Giants
144,Cameron Green,20000000,ALL-ROUNDER,17.5,2100.0,,Mumbai Indians
145,Jhye Richardson,1500000,BOWLER,1.5,180.0,,Mumbai Indians
146,Piyush Chawla,5000000,BOWLER,0.5,60.0,,Mumbai Indians
147,Raghav Goyal,2000000,BOWLER,0.2,24.0,,Mumbai Indians
148,Shams Mulani,2000000,ALL-ROUNDER,0.2,24.0,,Mumbai Indians
149,Nehal Wadhera,2000000,ALL-ROUNDER,0.2,24.0,,Mumbai Indians
150,Vishnu Vinod,2000000,WICKETKEEPER,0.2,24.0,SRH,Mumbai Indians
151,Duan Jansen,2000000,ALL-ROUNDER,0.2,24.0,,Mumbai Indians
152,Ramandeep Singh,Retained,ALL-ROUNDER,0.0,0.0,MI,Mumbai Indians
153,N. Tilak Varma,Retained,ALL-ROUNDER,0.0,0.0,MI,Mumbai Indians
154,Mohd. Arshad Khan,Retained,ALL-ROUNDER,0.0,0.0,MI,Mumbai Indians
155,Rohit Sharma,Retained,BATSMAN,0.0,0.0,MI,Mumbai Indians
156,Suryakumar Yadav,Retained,BATSMAN,0.0,0.0,MI,Mumbai Indians
157,Kumar Kartikeya Singh,Retained,ALL-ROUNDER,0.0,0.0,MI,Mumbai Indians
158,Tristan Stubbs*,Retained,WICKETKEEPER,0.0,0.0,MI,Mumbai Indians
159,Tim David,Retained,ALL-ROUNDER,0.0,0.0,MI,Mumbai Indians
160,Hrithik Shokeen,Retained,ALL-ROUNDER,0.0,0.0,MI,Mumbai Indians
161,Arjun Tendulkar,Retained,ALL-ROUNDER,0.0,0.0,MI,Mumbai Indians
162,Akash Madhwal,Retained,BOWLER,0.0,0.0,MI,Mumbai Indians
163,Dewald Brevis,Retained,BATSMAN,0.0,0.0,MI,Mumbai Indians
164,Ishan Kishan,Retained,WICKETKEEPER,0.0,0.0,MI,Mumbai Indians
165,Jasprit Bumrah,Retained,BOWLER,0.0,0.0,MI,Mumbai Indians
166,Jason Behrendorff (T),Retained,BOWLER,0.0,0.0,MI,Mumbai Indians
167,Jofra Archer,Retained,ALL-ROUNDER,0.0,0.0,MI,Mumbai Indians
168,Will Jacks,1500000,BATSMAN,3.2,384.0,,Royal Challengers Banglore
169,Reece Topley,7500000,BOWLER,1.9,228.0,,Royal Challengers Banglore
170,Rajan Kumar,2000000,BOWLER,0.7,84.0,,Royal Challengers Banglore
171,Avinash Singh,2000000,BOWLER,0.6,72.0,,Royal Challengers Banglore
172,Manoj Bhandage,2000000,ALL-ROUNDER,0.2,24.0,,Royal Challengers Banglore
173,Sonu Yadav,2000000,ALL-ROUNDER,0.2,24.0,,Royal Challengers Banglore
174,Himanshu Sharma,2000000,BOWLER,0.2,24.0,,Royal Challengers Banglore
175,Rajat Patidar,Retained,BATSMAN,0.0,0.0,RCB,Royal Challengers Banglore
176,Mahipal Lomror,Retained,BOWLER,0.0,0.0,RCB,Royal Challengers Banglore
177,Shahbaz Ahamad,Retained,ALL-ROUNDER,0.0,0.0,RCB,Royal Challengers Banglore
178,Mohammed Siraj,Retained,BOWLER,0.0,0.0,RCB,Royal Challengers Banglore
179,Wanindu Hasaranga,Retained,ALL-ROUNDER,0.0,0.0,RCB,Royal Challengers Banglore
180,Karn Sharma,Retained,BOWLER,0.0,0.0,RCB,Royal Challengers Banglore
181,Virat Kohli,Retained,BATSMAN,0.0,0.0,RCB,Royal Challengers Banglore
182,Suyash Prabhudessai,Retained,ALL-ROUNDER,0.0,0.0,RCB,Royal Challengers Banglore
183,Siddharth Kaul,Retained,BOWLER,0.0,0.0,RCB,Royal Challengers Banglore
184,Finn Allen,Retained,BATSMAN,0.0,0.0,RCB,Royal Challengers Banglore
185,David Willey,Retained,ALL-ROUNDER,0.0,0.0,RCB,Royal Challengers Banglore
186,Anuj Rawat,Retained,WICKETKEEPER,0.0,0.0,RCB,Royal Challengers Banglore
187,Akash Deep,Retained,BOWLER,0.0,0.0,RCB,Royal Challengers Banglore
188,Dinesh Karthik,Retained,WICKETKEEPER,0.0,0.0,RCB,Royal Challengers Banglore
189,Faf Du Plessis,Retained,BATSMAN,0.0,0.0,RCB,Royal Challengers Banglore
190,Harshal Patel,Retained,ALL-ROUNDER,0.0,0.0,RCB,Royal Challengers Banglore
191,Glenn Maxwell,Retained,ALL-ROUNDER,0.0,0.0,RCB,Royal Challengers Banglore
192,Josh Hazlewood,Retained,BOWLER,0.0,0.0,RCB,Royal Challengers Banglore
193,Jason Holder,20000000,ALL-ROUNDER,5.75,690.0,LSG,Rajasthan Royals
194,Adam Zampa,1500000,BOWLER,1.5,180.0,,Rajasthan Royals
195,Joe Root,10000000,BATSMAN,1.0,120.0,,Rajasthan Royals
196,Donovan Ferreira,2000000,WICKETKEEPER,0.5,60.0,,Rajasthan Royals
197,K.M. Asif,3000000,BOWLER,0.3,36.0,CSK,Rajasthan Royals
198,Kunal Rathore,2000000,WICKETKEEPER,0.2,24.0,,Rajasthan Royals
199,Abdul P A,2000000,ALL-ROUNDER,0.2,24.0,,Rajasthan Royals
200,Akash Vashisht,2000000,ALL-ROUNDER,0.2,24.0,,Rajasthan Royals
201,Murugan Ashwin,2000000,BOWLER,0.2,24.0,MI,Rajasthan Royals
202,Sanju Samson,Retained,WICKETKEEPER,0.0,0.0,RR,Rajasthan Royals
203,Riyan Parag,Retained,ALL-ROUNDER,0.0,0.0,RR,Rajasthan Royals
204,R. Ashwin,Retained,ALL-ROUNDER,0.0,0.0,RR,Rajasthan Royals
205,Shimron Hetmyer,Retained,BATSMAN,0.0,0.0,RR,Rajasthan Royals
206,Trent Boult,Retained,BOWLER,0.0,0.0,RR,Rajasthan Royals
207,Prasidh Krishna,Retained,BOWLER,0.0,0.0,RR,Rajasthan Royals
208,Yuzvendra Chahal,Retained,BOWLER,0.0,0.0,RR,Rajasthan Royals
209,Yashasvi Jaiswal,Retained,BATSMAN,0.0,0.0,RR,Rajasthan Royals
210,K.C Cariappa,Retained,BOWLER,0.0,0.0,RR,Rajasthan Royals
211,Dhruv Jurel,Retained,WICKETKEEPER,0.0,0.0,RR,Rajasthan Royals
212,Devdutt Padikkal,Retained,BATSMAN,0.0,0.0,RR,Rajasthan Royals
213,Jos Buttler,Retained,WICKETKEEPER,0.0,0.0,RR,Rajasthan Royals
214,Kuldeep Sen,Retained,BOWLER,0.0,0.0,RR,Rajasthan Royals
215,Navdeep Saini,Retained,BOWLER,0.0,0.0,RR,Rajasthan Royals
216,Kuldip Yadav,Retained,BOWLER,0.0,0.0,RR,Rajasthan Royals
217,Obed Mccoy,Retained,BOWLER,0.0,0.0,RR,Rajasthan Royals
218,Harry Brook,15000000,BATSMAN,13.25,1590.0,,Sunrisers Hyderabad
219,Mayank Agarwal,10000000,BATSMAN,8.25,990.0,PBKS,Sunrisers Hyderabad
220,Heinrich Klaasen,10000000,WICKETKEEPER,5.25,630.0,,Sunrisers Hyderabad
221,Vivrant Sharma,2000000,ALL-ROUNDER,2.6,312.0,,Sunrisers Hyderabad
222,Adil Rashid,20000000,BOWLER,2.0,240.0,,Sunrisers Hyderabad
223,Mayank Dagar,2000000,ALL-ROUNDER,1.8,216.0,,Sunrisers Hyderabad
224,Akeal Hosein,10000000,BOWLER,1.0,120.0,,Sunrisers Hyderabad
225,Mayank Markande,5000000,BOWLER,0.5,60.0,MI,Sunrisers Hyderabad
226,Upendra Singh Yadav,2000000,WICKETKEEPER,0.25,30.0,,Sunrisers Hyderabad
227,Nitish Kumar Reddy,2000000,WICKETKEEPER,0.2,24.0,,Sunrisers Hyderabad
228,Samarth Vyas,2000000,ALL-ROUNDER,0.2,24.0,,Sunrisers Hyderabad
229,Anmolpreet Singh,2000000,BATSMAN,0.2,24.0,MI,Sunrisers Hyderabad
230,Sanvir Singh,2000000,ALL-ROUNDER,0.2,24.0,,Sunrisers Hyderabad
231,Marco Jansen,Retained,ALL-ROUNDER,0.0,0.0,SRH,Sunrisers Hyderabad
232,Rahul Tripathi,Retained,BATSMAN,0.0,0.0,SRH,Sunrisers Hyderabad
233,Umran Malik,Retained,BOWLER,0.0,0.0,SRH,Sunrisers Hyderabad
234,Washington Sundar,Retained,ALL-ROUNDER,0.0,0.0,SRH,Sunrisers Hyderabad
235,Kartik Tyagi,Retained,BOWLER,0.0,0.0,SRH,Sunrisers Hyderabad
236,T. Natarajan,Retained,BOWLER,0.0,0.0,SRH,Sunrisers Hyderabad
237,Fazalhaq Farooqi,Retained,BOWLER,0.0,0.0,SRH,Sunrisers Hyderabad
238,Abdul Samad,Retained,BATSMAN,0.0,0.0,SRH,Sunrisers Hyderabad
239,Abhishek Sharma,Retained,ALL-ROUNDER,0.0,0.0,SRH,Sunrisers Hyderabad
240,Aiden Markram,Retained,BATSMAN,0.0,0.0,SRH,Sunrisers Hyderabad
241,Bhuvneshwar Kumar,Retained,BOWLER,0.0,0.0,SRH,Sunrisers Hyderabad
242,Glenn Phillips,Retained,WICKETKEEPER,0.0,0.0,SRH,Sunrisers Hyderabad
243,Tom Banton,20000000,WICKETKEEPER,,,,Unsold
244,Kusal Mendis,5000000,WICKETKEEPER,,,,Unsold
245,Chris Jordan,20000000,BOWLER,,,CSK,Unsold
246,Adam Milne,20000000,BOWLER,,,CSK,Unsold
247,Mujeeb Rahman,10000000,BOWLER,,,,Unsold
248,Tabraiz Shamsi,10000000,BOWLER,,,,Unsold
249,Shubham Khajuria,2000000,BATSMAN,,,,Unsold
250,Rohan Kunnummal,2000000,BATSMAN,,,,Unsold
251,Chethan L.R.,2000000,BATSMAN,,,,Unsold
252,Himmat Singh,2000000,BATSMAN,,,,Unsold
253,Corbin Bosch,2000000,ALL-ROUNDER,,,RR,Unsold
254,Priyam Garg,2000000,ALL-ROUNDER,,,SRH,Unsold
255,Saurabh Kumar,2000000,ALL-ROUNDER,,,,Unsold
256,Shashank Singh,2000000,ALL-ROUNDER,,,SRH,Unsold
257,Mohammed Azharuddeen,2000000,WICKETKEEPER,,,,Unsold
258,Dinesh Bana,2000000,WICKETKEEPER,,,,Unsold
259,Abhimanyu Easwaran,2000000,WICKETKEEPER,,,,Unsold
260,Sumit Kumar,2000000,WICKETKEEPER,,,,Unsold
261,Lance Morris,3000000,BOWLER,,,,Unsold
262,Mujtaba Yousuf,2000000,BOWLER,,,,Unsold
263,Chintal Gandhi,2000000,BOWLER,,,,Unsold
264,Shreyas Gopal,2000000,BOWLER,,,SRH,Unsold
265,S Midhun,2000000,BOWLER,,,,Unsold
266,Izharulhuq Naveed,2000000,BOWLER,,,,Unsold
267,Travis Head,20000000,BATSMAN,,,,Unsold
268,Dawid Malan,1500000,BATSMAN,,,,Unsold
269,Sherfane Rutherford,1500000,BATSMAN,,,RCB,Unsold
270,Paul Stirling,5000000,BATSMAN,,,,Unsold
271,Rassie Van Der Dussen,20000000,BATSMAN,,,RR,Unsold
272,Daryl Mitchell,10000000,ALL-ROUNDER,,,RR,Unsold
273,Mohammad Nabi,10000000,ALL-ROUNDER,,,KKR,Unsold
274,Jimmy Neesham,20000000,ALL-ROUNDER,,,RR,Unsold
275,Wayne Parnell,7500000,ALL-ROUNDER,,,,Unsold
276,Dasun Shanaka,5000000,ALL-ROUNDER,,,,Unsold
277,Taskin Ahmed,5000000,BOWLER,,,,Unsold
278,Dushmanta Chameera,5000000,BOWLER,,,LSG,Unsold
279,Riley Meredith,1500000,BOWLER,,,MI,Unsold
280,Blessing Muzarabani,5000000,BOWLER,,,,Unsold
281,Sandeep Sharma,5000000,BOWLER,,,PBKS,Unsold
282,Johnson Charles,5000000,WICKETKEEPER,,,,Unsold
283,Andre Fletcher,5000000,WICKETKEEPER,,,,Unsold
284,Shai Hope,10000000,WICKETKEEPER,,,,Unsold
285,Tom Latham,10000000,WICKETKEEPER,,,,Unsold
286,Joshua Philippe,7500000,WICKETKEEPER,,,,Unsold
287,Lorcan Tucker,5000000,WICKETKEEPER,,,,Unsold
288,Shahbaz Nadeem,5000000,BOWLER,,,LSG,Unsold
289,Ish Sodhi,7500000,BOWLER,,,,Unsold
290,Sachin Baby,2000000,BATSMAN,,,,Unsold
291,Ashwin Hebbar,2000000,BATSMAN,,,DC,Unsold
292,Pukhraj Mann,2000000,BATSMAN,,,,Unsold
293,Akshat Raghuwanshi,2000000,BATSMAN,,,,Unsold
294,Himanshu Rana,2000000,BATSMAN,,,,Unsold
295,Shoun Roger,2000000,BATSMAN,,,,Unsold
296,Virat Singh,2000000,BATSMAN,,,,Unsold
297,Will Smeed,4000000,BATSMAN,,,,Unsold
298,Apoorv Wankhade,3000000,BATSMAN,,,,Unsold
299,Gerald Coetzee,2000000,ALL-ROUNDER,,,,Unsold
300,Evan Jones,2000000,ALL-ROUNDER,,,,Unsold
301,Abid Mushtaq,2000000,ALL-ROUNDER,,,,Unsold
302,Suryansh Shedge,2000000,ALL-ROUNDER,,,,Unsold
303,Jagadeesha Suchith,2000000,ALL-ROUNDER,,,SRH,Unsold
304,Ricky Bhui,2000000,WICKETKEEPER,,,,Unsold
305,Baba Indrajith,2000000,WICKETKEEPER,,,KKR,Unsold
306,Sheldon Jackson,2000000,WICKETKEEPER,,,KKR,Unsold
307,Aryan Juyal,2000000,WICKETKEEPER,,,MI,Unsold
308,Kirant Shinde,2000000,WICKETKEEPER,,,,Unsold
309,Luvnith Sisodia,2000000,WICKETKEEPER,,,RCB,Unsold
310,Vishnu Solanki,2000000,WICKETKEEPER,,,,Unsold
311,Aniket Choudhary,3000000,BOWLER,,,,Unsold
312,Ravi Kumar,2000000,BOWLER,,,,Unsold
313,Sushant Mishra,2000000,BOWLER,,,SRH,Unsold
314,Arzan Nagwaswalla,2000000,BOWLER,,,,Unsold
315,Ishan Porel,2000000,BOWLER,,,PBKS,Unsold
316,Akash Singh,2000000,BOWLER,,,,Unsold
317,Basil Thampi,2000000,BOWLER,,,MI,Unsold
318,Paul Van Meekeren,2000000,BOWLER,,,,Unsold
319,Vyshak Vijay Kumar,2000000,BOWLER,,,,Unsold
320,S.Ajith Ram,2000000,BOWLER,,,,Unsold
321,Satyajeet Bachhav,2000000,BOWLER,,,,Unsold
322,Tejas Baroka,2000000,BOWLER,,,RR,Unsold
323,Yuvraj Chudasama,2000000,BOWLER,,,,Unsold
324,Peter Hatzoglou,2000000,BOWLER,,,,Unsold
325,Karthik Meiyappan,2000000,BOWLER,,,,Unsold
326,Shivam Sharma,2000000,BOWLER,,,,Unsold
327,Reeza Hendricks,5000000,BATSMAN,,,,Unsold
328,Christiaan Jonker,5000000,BATSMAN,,,,Unsold
329,Brandon King,5000000,BATSMAN,,,,Unsold
330,Chris Lynn,20000000,BATSMAN,,,,Unsold
